feature,ks_statistic,ks_pvalue,ks_drift,wasserstein_dist,wasserstein_drift,ref_mean,inc_mean,mean_shift
mfcc_199,0.030382,0.981161,False,0.000224,False,-1e-04,-1e-04,1e-04
mfcc_200,0.049479,0.61487,False,0.052611,False,5.6551,5.6739,0.0188
mfcc_201,0.039931,0.847619,False,0.02202,False,2.851,2.8621,0.0111
mfcc_202,0.059028,0.389502,False,0.024114,False,1.9949,1.9725,0.0224
mfcc_203,0.051215,0.570906,False,0.009865,False,1.3639,1.3703,0.0064
mfcc_204,0.039931,0.847619,False,0.00887,False,1.3009,1.3033,0.0024
mfcc_205,0.087674,0.055833,False,0.020142,False,1.1309,1.148,0.0171
mfcc_206,0.054688,0.486178,False,0.011164,False,1.1831,1.1914,0.0083
mfcc_207,0.037326,0.898215,False,0.008462,False,1.0628,1.0582,0.0046
mfcc_208,0.040799,0.82888,False,0.008806,False,0.8977,0.9028,0.0051
mfcc_209,0.057292,0.426744,False,0.012573,False,0.8785,0.8662,0.0122
mfcc_210,0.043403,0.768393,False,0.009452,False,0.8738,0.8691,0.0047
mfcc_211,0.05816,0.407872,False,0.010844,False,0.8704,0.8766,0.0061
mfcc_212,0.044271,0.747144,False,0.011922,False,0.8384,0.8366,0.0017
mfcc_213,0.108507,0.008379,True,0.018893,False,0.8166,0.8306,0.0139
mfcc_214,0.059896,0.371649,False,0.010958,False,0.806,0.816,0.0101
mfcc_215,0.069444,0.21062,False,0.022112,False,0.8073,0.8243,0.017
mfcc_216,0.086806,0.059897,False,0.021974,False,0.8028,0.8242,0.0214
mfcc_217,0.085069,0.068789,False,0.024954,False,0.7962,0.8169,0.0207
mfcc_218,0.06684,0.248146,False,0.022586,False,0.804,0.8245,0.0205
mfcc_219,0.05816,0.407872,False,0.024575,False,0.8034,0.8263,0.0229
mfcc_220,0.033854,0.949718,False,0.009032,False,0.8168,0.8189,0.0021
mfcc_221,0.046007,0.703607,False,0.010788,False,0.8129,0.8143,0.0014
mfcc_222,0.059896,0.371649,False,0.014355,False,0.8171,0.8038,0.0133
mfcc_223,0.040799,0.82888,False,0.011217,False,0.8033,0.7962,0.0071
mfcc_224,0.060764,0.354323,False,0.018983,False,0.8033,0.7903,0.013
mfcc_225,0.055556,0.46592,False,0.019119,False,0.7926,0.7797,0.013
mfcc_226,0.046875,0.681504,False,0.012621,False,0.797,0.7917,0.0052
mfcc_227,0.069444,0.21062,False,0.012952,False,0.7946,0.8002,0.0056
mfcc_228,0.075521,0.140071,False,0.019234,False,0.7917,0.7782,0.0134
mfcc_229,0.045139,0.725517,False,0.010934,False,0.7754,0.7758,0.0003
mfcc_230,0.043403,0.768393,False,0.01199,False,0.7472,0.7514,0.0042
mfcc_231,0.041667,0.809362,False,0.008136,False,0.7137,0.7212,0.0075
mfcc_232,0.03559,0.92644,False,0.005901,False,0.6855,0.6882,0.0026
mfcc_233,0.054688,0.486178,False,0.01257,False,0.6755,0.6843,0.0088
mfcc_234,0.054688,0.486178,False,0.008647,False,0.6832,0.6877,0.0046
mfcc_235,0.040799,0.82888,False,0.007183,False,0.6717,0.6688,0.0029
mfcc_236,0.06684,0.248146,False,0.012665,False,0.6684,0.6773,0.009
mfcc_237,0.052083,0.54925,False,0.010265,False,0.6482,0.6582,0.01
mfcc_238,0.068576,0.222615,False,0.011746,False,0.6347,0.6445,0.0098
mfcc_239,0.047743,0.659295,False,0.008287,False,0.609,0.6143,0.0053
